dominant_seller,order_count,total_gmv,seller_state,mean_freight,mean_review,low_review_rate,eligible_deliveries,late_delivery_rate,mean_delay_days,late_rate_pct,low_review_rate_pct,statistically_reliable
4091f77d8c768fc3e81c20761471761d,8,1309.8700000000001,SP,28.85875,2.75,0.375,8,0.25,-4.735,25.0,37.5,False
40d54b51e962dbe09cabbcfd33298dee,29,7297.55,SP,18.496206896551723,4.103448275862069,0.1724137931034483,29,0.0,-11.353793103448275,0.0,17.24137931034483,False
40db9e9aa57f7bb151bcda6b0f9bdbb7,12,23823.989999999998,PE,54.66583333333333,2.3636363636363638,0.5833333333333334,12,0.08333333333333337,-14.726666666666667,8.333333333333337,58.333333333333336,False
40ec8ab6cdafbcc4f544da38c67da39a,2,157.0,PR,19.6,5.0,0.0,2,0.0,-12.68,0.0,0.0,False
411f3b52d857390502ee4e4d5ceabc2d,21,2237.2400000000002,SP,19.059047619047618,4.105263157894737,0.14285714285714285,21,0.1428571428571429,-5.923333333333334,14.28571428571429,14.285714285714285,False
4125d9385a25e82d2f72d3a0fd55bc3f,1,61.3,SP,18.4,5.0,0.0,1,0.0,-3.32,0.0,0.0,False
412a4720f3e9431b4afa1476a1acddbe,21,2569.16,SP,24.336190476190477,4.238095238095238,0.09523809523809523,21,0.04761904761904767,-8.19047619047619,4.761904761904767,9.523809523809524,False
4170f6a9367e6b5d6401d03ce6d54569,4,661.81,DF,23.2575,4.0,0.25,4,0.25,0.3174999999999999,25.0,25.0,False
417a1e6c7321084d2a0ae0d023cfad93,1,61.379999999999995,RS,12.48,5.0,0.0,1,0.0,-16.42,0.0,0.0,False
41958cbd3335433c8740300e8cd600d5,1,40.38,SP,7.39,5.0,0.0,1,0.0,-10.35,0.0,0.0,False
41ab63a91b8b264e8c8780368bf1dd5b,11,2750.8199999999997,MG,27.079090909090908,4.545454545454546,0.09090909090909091,11,0.0,-22.757272727272724,0.0,9.090909090909092,False
41b14765bd56c8ad10971074380f9c0c,8,514.63,SP,14.891250000000001,4.625,0.125,8,0.0,-10.848749999999999,0.0,12.5,False
41b39e28db005d9731d9d485a83b4c38,190,21263.21,SP,21.036315789473683,4.068421052631579,0.15789473684210525,182,0.06593406593406592,-17.18434065934066,6.593406593406592,15.789473684210526,True
41b86b552e54e3a7009596125aa8b167,10,1829.91,SP,23.461000000000002,4.3,0.1,10,0.0,-18.124000000000002,0.0,10.0,False
41c2bad7229b0c25e6becf179ebf63ff,20,971.92,RN,9.495999999999999,4.95,0.0,20,0.0,-15.1715,0.0,0.0,False
41c9d3997dd3c072c31139dc5bb5761f,3,1110.54,MG,37.24666666666667,4.333333333333333,0.0,3,0.0,-9.816666666666668,0.0,0.0,False
41da412d33e8da4f22baf55cb1bde82c,15,1237.06,ES,24.944000000000003,4.666666666666667,0.0,15,0.0,-18.154,0.0,0.0,False
41e0fa5761c886a630994a55c12087e7,5,491.90999999999997,SP,13.662,5.0,0.0,5,0.0,-18.846,0.0,0.0,False
4200ddf1967c5e41e48db62bc6d4b5ac,21,1205.3999999999999,SP,22.686666666666664,4.444444444444445,0.047619047619047616,21,0.04761904761904767,-10.252857142857144,4.761904761904767,4.761904761904762,False
4221a7df464f1fe2955934e30ff3a5a1,5,1089.04,BA,47.908,4.8,0.0,5,0.0,-15.812000000000001,0.0,0.0,False
422be4cc81a457fdb46f47edeb968ae5,1,317.37,SP,77.47,5.0,0.0,1,0.0,-20.18,0.0,0.0,False
427165bf50f8ca07efc7bdc2bfcf1688,5,1692.9,SP,17.880000000000003,3.2,0.4,5,0.6,18.571999999999996,60.0,40.0,False
42b6488f5b8246d9141712abd4b1b693,2,289.8,PR,20.905,4.0,0.0,2,0.0,-12.264999999999999,0.0,0.0,False
